"";"loc_1";"loc_2";"Distance"
"192";"B";"K";71,9418479057446
"193";"C";"K";60,125533493917
"194";"D";"K";56,7753078802858
"195";"E";"K";60,6413396862339
"196";"F";"K";63,965829890415
"197";"G";"K";86,5608811649356
"198";"H";"K";27,506838107611
"199";"I";"K";19,372547513492
"200";"J";"K";16,4441905944381
"201";"K";"K";0
"202";"L";"K";3,81552663905649
"203";"M";"K";6,21944327818527
"204";"N";"K";9,47177703483306
"205";"O";"K";9,41638340484672
"206";"P";"K";23,7616413504341
"207";"Q";"K";35,2790366008459
"208";"R";"K";36,7907238720187
"209";"S";"K";40,353706274193
"210";"A";"L";74,0318561379019
"211";"B";"L";75,3512841101614
"212";"C";"L";63,2042152173768
"213";"D";"L";59,8789027824715
"214";"E";"L";63,5804660634688
"215";"F";"L";66,7452231419996
"216";"G";"L";89,1970488700404
"217";"H";"L";30,2430554177721
"218";"I";"L";22,1686370217178
"219";"J";"L";19,191203918357
"220";"K";"L";3,81552663905649
"221";"L";"L";0
"222";"M";"L";5,47882156387038
"223";"N";"L";8,89744724302335
"224";"O";"L";6,93805412389829
"225";"P";"L";20,6947360989967
"226";"Q";"L";32,4105989822935
"227";"R";"L";33,5888415560598
"228";"S";"L";37,142257111169
"229";"A";"M";71,5477700434876
"230";"B";"M";72,4201897593922
"231";"C";"M";59,5819589089456
"232";"D";"M";56,3151727205317
"233";"E";"M";59,7174953428865
"234";"F";"M";62,6332468934488
"235";"G";"M";84,8548592142211
"236";"H";"M";26,3038071528081
"237";"I";"M";18,5023701213348
"238";"J";"M";15,5621375530065
"239";"K";"M";6,21944327818527
"240";"L";"M";5,47882156387038
"241";"M";"M";0
"242";"N";"M";3,46664929025113
"243";"O";"M";4,22207819060522
"244";"P";"M";18,4396260547346
"245";"Q";"M";29,5821019377178
"246";"R";"M";31,5211954948741
"247";"S";"M";35,0755854941129
"248";"A";"N";70,8586277129316
"249";"B";"N";71,4054278733546
"250";"C";"N";58,0767076646536
"251";"D";"N";54,8673862869996
"252";"E";"N";58,0184731580257
"253";"F";"N";60,7208867662913
"254";"G";"N";82,7114821394363
"255";"H";"N";24,7658630098861
"256";"I";"N";17,3961786095988
"257";"J";"N";14,6145429840976
"258";"K";"N";9,47177703483306
"259";"L";"N";8,89744724302335
"260";"M";"N";3,46664929025113
"261";"N";"N";0
"262";"O";"N";4,84560653509929
"263";"P";"N";17,0342443056687
"264";"Q";"N";27,5411984161362
"265";"R";"N";29,9485924950773
"266";"S";"N";33,4625896217436
"267";"A";"O";75,3838989013329
"268";"B";"O";76,0741693526205
"269";"C";"O";62,8837180117455
"270";"D";"O";59,6619208593297
"271";"E";"O";62,8538826512106
"272";"F";"O";65,5663891141627
"273";"G";"O";87,5358782184219
"274";"H";"O";29,5621804352919
"275";"I";"O";22,0458661985621
"276";"J";"O";19,1855752276101
"277";"K";"O";9,41638340484672
"278";"L";"O";6,93805412389829
"279";"M";"O";4,22207819060522
"280";"N";"O";4,84560653509929
"281";"O";"O";0
"282";"P";"O";14,438299920439
"283";"Q";"O";25,8638333186526
"284";"R";"O";27,5179337729559
"285";"S";"O";31,080137471426
"286";"A";"P";86,1796822567229
"287";"B";"P";86,0034474422654
"288";"C";"P";71,5032549038673
"289";"D";"P";68,5234255253615
"290";"E";"P";70,8211005352577
"291";"F";"P";72,6934014340759
"292";"G";"P";93,3251578959894
"293";"H";"P";39,1871433623355
"294";"I";"P";33,1001990161888
"295";"J";"P";30,7075134579866
"296";"K";"P";23,7616413504341
"297";"L";"P";20,6947360989967
"298";"M";"P";18,4396260547346
"299";"N";"P";17,0342443056687
"300";"O";"P";14,438299920439
"301";"P";"P";0
"302";"Q";"P";11,8471285139358
"303";"R";"P";13,0867902759387
"304";"S";"P";16,6463001237569
"305";"A";"Q";92,8443254267202
"306";"B";"Q";91,8853414759007
"307";"C";"Q";76,5155146013249
"308";"D";"Q";73,8094903649353
"309";"E";"Q";75,303780257461
"310";"F";"Q";76,4305527473606
"311";"G";"Q";95,5186399690939
"312";"H";"Q";46,2033754893698
"313";"I";"Q";41,4852811339213
"314";"J";"Q";39,5535551681077
"315";"K";"Q";35,2790366008459
"316";"L";"Q";32,4105989822935
"317";"M";"Q";29,5821019377178
"318";"N";"Q";27,5411984161362
"319";"O";"Q";25,8638333186526
"320";"P";"Q";11,8471285139358
"321";"Q";"Q";0
"322";"R";"Q";5,17294858862104
"323";"S";"Q";7,30197173517061
"324";"A";"R";97,1085756546178
"325";"B";"R";96,3523458143487
"326";"C";"R";81,1516777351457
"327";"D";"R";78,3840685731172
"328";"E";"R";80,0385646916188
"329";"F";"R";81,2895802896049
"330";"G";"R";100,579910837984
"331";"H";"R";50,2466379177969
"332";"I";"R";45,033967746727
"333";"J";"R";42,9030738879049
"334";"K";"R";36,7907238720187
"335";"L";"R";33,5888415560598
"336";"M";"R";31,5211954948741
"337";"N";"R";29,9485924950773
"338";"O";"R";27,5179337729559
"339";"P";"R";13,0867902759387
"340";"Q";"R";5,17294858862104
"341";"R";"R";0
"342";"S";"R";3,56368700508569
"343";"A";"S";100,072189935035
"344";"B";"S";99,1691444472129
"345";"C";"S";83,8174002154584
"346";"D";"S";81,1079370709319
"347";"E";"S";82,600127475541
"348";"F";"S";83,6939063974888
"349";"G";"S";102,60000332763
"350";"H";"S";53,3266388928809
"351";"I";"S";48,318834219095
"352";"J";"S";46,2485202356641
"353";"K";"S";40,353706274193
"354";"L";"S";37,142257111169
"355";"M";"S";35,0755854941129
"356";"N";"S";33,4625896217436
"357";"O";"S";31,080137471426
"358";"P";"S";16,6463001237569
"359";"Q";"S";7,30197173517061
"360";"R";"S";3,56368700508569
"361";"S";"S";0
